Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6762644,MDG_0000000001,COUNTRY,COL,AMR,YEAR,Americas,SEX,1998,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,20.1 [18.4-21.9],20.127321506,18.409033758,21.913640497,,2025-04-15T15:49:27.583+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
6762872,MDG_0000000001,COUNTRY,TZA,AFR,YEAR,Africa,SEX,1990,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,110.5 [103.5-117.8],110.475112477,103.452478842,117.77631016,,2025-04-15T15:49:27.583+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6763311,MDG_0000000001,COUNTRY,COM,AFR,YEAR,Africa,SEX,2007,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,51.2 [40.2-61.3],51.216203038,40.223202368,61.272536996,,2025-04-15T15:49:27.583+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6763463,MDG_0000000001,COUNTRY,OMN,EMR,YEAR,Eastern Mediterranean,SEX,1976,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,117.7 [103.3-134.0],117.728391024,103.293213367,133.952526736,,2025-04-15T15:49:27.583+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6763958,MDG_0000000001,COUNTRY,MWI,AFR,YEAR,Africa,SEX,2021,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,31.4 [19.4-49.2],31.399238727,19.433649886,49.223747799,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6764048,MDG_0000000001,COUNTRY,WSM,WPR,YEAR,Western Pacific,SEX,1980,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,29.9 [24.7-36.1],29.926671801,24.680378042,36.064655987,,2025-04-15T15:49:27.583+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
6764537,MDG_0000000001,UNSDGREGION,UNSDG_EASTERNASIA,,YEAR,,SEX,1994,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,39.0 [36.5-41.8],39.011791599,36.483560929,41.76451983,,2025-04-15T15:49:27.583+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
6764934,MDG_0000000001,COUNTRY,MKD,EUR,YEAR,Europe,SEX,1991,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.8 [31.6-34.0],32.814743007,31.649466114,33.953941756,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
6765145,MDG_0000000001,COUNTRY,SRB,EUR,YEAR,Europe,SEX,2007,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.9 [7.6-8.2],7.932072021,7.605764367,8.248865547,,2025-04-15T15:49:27.583+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6765362,MDG_0000000001,COUNTRY,CPV,AFR,YEAR,Africa,SEX,1988,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,45.8 [44.0-47.6],45.772016172,44.021931071,47.567245388,,2025-04-15T15:49:27.583+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
6765480,MDG_0000000001,COUNTRY,TCA,AMR,YEAR,Americas,SEX,1987,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.4 [9.2-19.8],13.371228669,9.19183705,19.825410173,,2025-04-15T15:49:27.583+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
