Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6387891,MDG_0000000001,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,1993,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.8 [17.0-18.6],17.779302031,16.992857638,18.604724201,,2025-04-15T15:49:27.583+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6387949,MDG_0000000001,COUNTRY,BOL,YEAR,AMR,Americas,SEX,SEX_BTSX,1972,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,148.2 [138.7-158.7],148.213963937,138.651684974,158.72679225,,2025-04-15T15:49:27.583+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
6388217,MDG_0000000001,UNICEFREGION,UNICEFREGIONLAC,YEAR,,,SEX,SEX_MLE,2015,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,17.2 [16.7-17.8],17.168561191,16.684478813,17.807957242,,2025-04-15T15:49:27.583+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6388636,MDG_0000000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_MLE,2021,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.3 [3.2-3.4],3.303517144,3.2271559,3.37926583,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6388831,MDG_0000000001,MGHEREG,UNICEF_ROSA,YEAR,,,SEX,SEX_MLE,2014,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,44.5 [42.8-46.3],44.473071421,42.813890143,46.253637789,,2025-04-15T15:49:27.583+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6389327,MDG_0000000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_FMLE,2002,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.7 [3.7-3.8],3.744461051,3.659626155,3.831485512,,2025-04-15T15:49:27.583+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6389496,MDG_0000000001,COUNTRY,KEN,YEAR,AFR,Africa,SEX,SEX_BTSX,2006,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,46.9 [43.1-50.8],46.870618047,43.140204392,50.763088254,,2025-04-15T15:49:27.583+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6389590,MDG_0000000001,COUNTRY,MMR,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,1992,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,95.8 [87.1-105.5],95.812418187,87.115965901,105.542124197,,2025-04-15T15:49:27.583+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6389651,MDG_0000000001,COUNTRY,GHA,YEAR,AFR,Africa,SEX,SEX_BTSX,1959,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,123.2 [109.5-138.4],123.173170707,109.462704706,138.421408807,,2025-04-15T15:49:27.583+02:00,1959,1959-01-01T00:00:00+01:00,1959-12-31T00:00:00+01:00
6389769,MDG_0000000001,COUNTRY,GRD,YEAR,AMR,Americas,SEX,SEX_BTSX,1988,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,20.1 [18.6-21.7],20.067671657,18.604510939,21.690440488,,2025-04-15T15:49:27.583+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
