Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8940207,MDG_0000000001,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,1974,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,131.7 [123.1-140.5],131.673383876,123.096921554,140.466240701,,2025-04-15T15:49:27.583+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
8940843,MDG_0000000001,UNICEFREGION,UNICEFREGIONLAC,YEAR,,,SEX,SEX_MLE,2011,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,19.0 [18.6-19.6],19.044324776,18.610589796,19.579185968,,2025-04-15T15:49:27.583+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
8941012,MDG_0000000001,COUNTRY,BIH,YEAR,EUR,Europe,SEX,SEX_FMLE,1997,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,9.0 [8.5-9.6],9.042677298,8.545730391,9.573364519,,2025-04-15T15:49:27.583+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
8941278,MDG_0000000001,COUNTRY,TUR,YEAR,EUR,Europe,SEX,SEX_MLE,1985,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,84.5 [78.6-90.6],84.465925182,78.581191013,90.645951291,,2025-04-15T15:49:27.583+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
8941599,MDG_0000000001,UNICEFREGION,UNICEFREGIONLAC,YEAR,,,SEX,SEX_FMLE,1993,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,34.5 [33.3-35.7],34.48427919,33.345320021,35.707501446,,2025-04-15T15:49:27.583+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
8941799,MDG_0000000001,COUNTRY,CHL,YEAR,AMR,Americas,SEX,SEX_BTSX,2008,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.6 [7.4-7.7],7.566761363,7.405839867,7.736704029,,2025-04-15T15:49:27.583+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
8942279,MDG_0000000001,COUNTRY,SWZ,YEAR,AFR,Africa,SEX,SEX_FMLE,2007,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,59.9 [53.2-67.7],59.900492184,53.152431059,67.704002032,,2025-04-15T15:49:27.583+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
8942352,MDG_0000000001,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,1972,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,115.2 [107.2-124.1],115.192199158,107.202664116,124.06994587,,2025-04-15T15:49:27.583+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
8942514,MDG_0000000001,COUNTRY,VCT,YEAR,AMR,Americas,SEX,SEX_MLE,1972,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,56.6 [53.7-59.7],56.616594367,53.662294053,59.738363275,,2025-04-15T15:49:27.583+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
8942577,MDG_0000000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,SEX_FMLE,1972,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,22.9 [22.2-23.5],22.855089934,22.231792849,23.474986364,,2025-04-15T15:49:27.583+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
8942663,MDG_0000000001,COUNTRY,ARG,YEAR,AMR,Americas,SEX,SEX_BTSX,2006,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,14.0 [13.7-14.2],13.967810858,13.700963488,14.23179734,,2025-04-15T15:49:27.583+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
8943027,MDG_0000000001,COUNTRY,SEN,YEAR,AFR,Africa,SEX,SEX_BTSX,1999,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,75.9 [71.8-80.3],75.92402526,71.840268774,80.319813802,,2025-04-15T15:49:27.583+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
8943375,MDG_0000000001,COUNTRY,COK,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2018,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.7 [9.7-19.2],13.676350884,9.689530316,19.172861311,,2025-04-15T15:49:27.583+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8943593,MDG_0000000001,UNICEFREGION,UNICEFREGIONMENA,YEAR,,,SEX,SEX_MLE,1991,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,54.9 [53.4-56.6],54.909116924,53.388422919,56.591367322,,2025-04-15T15:49:27.583+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
8943619,MDG_0000000001,MGHEREG,UNICEF_ESARO,YEAR,,,SEX,SEX_FMLE,1993,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,91.8 [89.6-94.6],91.81177154,89.597438398,94.576922766,,2025-04-15T15:49:27.583+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
8943675,MDG_0000000001,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,1952,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,131.5 [99.6-170.7],131.538301,99.574202588,170.746845528,,2025-04-15T15:49:27.583+02:00,1952,1952-01-01T00:00:00+01:00,1952-12-31T00:00:00+01:00
8943901,MDG_0000000001,COUNTRY,ETH,YEAR,AFR,Africa,SEX,SEX_FMLE,2002,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,73.7 [68.6-79.1],73.676043342,68.575651681,79.108532468,,2025-04-15T15:49:27.583+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8944308,MDG_0000000001,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,1950,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,168.2 [149.4-191.6],168.157469471,149.434504853,191.601694429,,2025-04-15T15:49:27.583+02:00,1950,1950-01-01T00:00:00+01:00,1950-12-31T00:00:00+01:00
8944316,MDG_0000000001,COUNTRY,COM,YEAR,AFR,Africa,SEX,SEX_BTSX,1995,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,77.6 [67.6-87.8],77.641815721,67.578022961,87.752898163,,2025-04-15T15:49:27.583+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
8945084,MDG_0000000001,COUNTRY,SRB,YEAR,EUR,Europe,SEX,SEX_MLE,2017,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,5.6 [5.4-5.9],5.61422126,5.350315868,5.872256277,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8945429,MDG_0000000001,COUNTRY,TCA,YEAR,AMR,Americas,SEX,SEX_MLE,2023,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.2 [1.3-12.4],4.222884559,1.334901693,12.401117214,,2025-04-15T15:49:27.583+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
8945490,MDG_0000000001,REGION,EMR,YEAR,,,SEX,SEX_FMLE,2000,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,61.4 [59.6-63.3],61.354576622,59.579837815,63.332732587,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
8945564,MDG_0000000001,COUNTRY,NIU,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2009,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,29.5 [17.4-50.2],29.514287411,17.361336323,50.159971384,,2025-04-15T15:49:27.583+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
8945575,MDG_0000000001,COUNTRY,AZE,YEAR,EUR,Europe,SEX,SEX_MLE,1997,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,75.5 [67.9-84.5],75.509889564,67.882737829,84.495478833,,2025-04-15T15:49:27.583+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
8945766,MDG_0000000001,UNSDGREGION,UNSDG_EUROPE,YEAR,,,SEX,SEX_BTSX,1994,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.4 [11.3-11.7],11.435295472,11.26340943,11.659574302,,2025-04-15T15:49:27.583+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
8945865,MDG_0000000001,COUNTRY,BGR,YEAR,EUR,Europe,SEX,SEX_MLE,1970,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,31.0 [30.3-31.8],31.018741836,30.26690202,31.788583756,,2025-04-15T15:49:27.583+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
8946416,MDG_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,1956,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,47.1 [46.0-48.2],47.121375268,46.000172402,48.214663429,,2025-04-15T15:49:27.583+02:00,1956,1956-01-01T00:00:00+01:00,1956-12-31T00:00:00+01:00
8947182,MDG_0000000001,COUNTRY,KAZ,YEAR,EUR,Europe,SEX,SEX_BTSX,1985,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,51.7 [46.3-57.9],51.657574301,46.272864495,57.949744135,,2025-04-15T15:49:27.583+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
8947389,MDG_0000000001,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,1964,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,221.7 [183.3-266.8],221.671167981,183.306649336,266.805659594,,2025-04-15T15:49:27.583+02:00,1964,1964-01-01T00:00:00+01:00,1964-12-31T00:00:00+01:00
8947542,MDG_0000000001,COUNTRY,ZMB,YEAR,AFR,Africa,SEX,SEX_MLE,1952,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,116.2 [82.8-164.4],116.166831037,82.827339356,164.37580969,,2025-04-15T15:49:27.583+02:00,1952,1952-01-01T00:00:00+01:00,1952-12-31T00:00:00+01:00
8947652,MDG_0000000001,COUNTRY,VEN,YEAR,AMR,Americas,SEX,SEX_FMLE,1973,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,40.5 [36.3-45.1],40.544818246,36.302245142,45.135670633,,2025-04-15T15:49:27.583+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
8947866,MDG_0000000001,COUNTRY,BHS,YEAR,AMR,Americas,SEX,SEX_FMLE,2013,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,11.7 [10.8-12.7],11.667196912,10.75745308,12.680767914,,2025-04-15T15:49:27.583+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
8948167,MDG_0000000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_FMLE,1999,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.0 [3.9-4.1],4.001440255,3.90997699,4.097420855,,2025-04-15T15:49:27.583+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
8948168,MDG_0000000001,COUNTRY,SVN,YEAR,EUR,Europe,SEX,SEX_MLE,1985,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.7 [13.2-14.3],13.721961084,13.160216632,14.314682661,,2025-04-15T15:49:27.583+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
8948559,MDG_0000000001,COUNTRY,ISL,YEAR,EUR,Europe,SEX,SEX_MLE,2002,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.1 [2.7-3.5],3.071716535,2.715069732,3.475420058,,2025-04-15T15:49:27.583+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8948683,MDG_0000000001,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_MLE,1968,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,38.8 [38.0-39.6],38.833219828,38.031234077,39.634754546,,2025-04-15T15:49:27.583+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
8949367,MDG_0000000001,COUNTRY,BOL,YEAR,AMR,Americas,SEX,SEX_BTSX,2017,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,24.8 [19.8-30.9],24.84646716,19.786175795,30.905036054,,2025-04-15T15:49:27.583+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8949431,MDG_0000000001,COUNTRY,NIC,YEAR,AMR,Americas,SEX,SEX_MLE,1975,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,117.0 [105.4-129.6],116.969891469,105.359938159,129.618308173,"The UN IGME estimates are not the official statistics of Nicaragua. The most recent national official estimates of neonatal, infant and under-five mortality rates available to the UN IGME come from the vital registration system for 2022, with a rate of 8.1, 11.7 and 13.3 deaths per 1,000 live births, respectively. Following a request from the Government of Nicaragua and per the objectives of the UN IGME, the UN IGME will continue to assess all data sources in the country relevant to child mortality estimation.",2025-04-15T15:49:27.583+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
