Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2161067,MDG_0000000001,COUNTRY,ALB,YEAR,EUR,Europe,SEX,1999,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,21.5 [19.3-24.0],21.52845453,19.336091424,23.985133169,,2026-08-04T15:40:44.863+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
2161077,MDG_0000000001,COUNTRY,SWE,YEAR,EUR,Europe,SEX,1969,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.4 [13.0-13.7],13.36504049,13.041598368,13.690545792,,2026-08-04T15:40:44.863+02:00,1969,1969-01-01T00:00:00+01:00,1969-12-31T00:00:00+01:00
2161238,MDG_0000000001,COUNTRY,GIN,YEAR,AFR,Africa,SEX,1994,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,111.2 [102.8-120.2],111.214315078,102.801997859,120.217588743,,2026-08-04T15:40:44.863+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2161848,MDG_0000000001,COUNTRY,MOZ,YEAR,AFR,Africa,SEX,1978,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,153.3 [133.7-175.8],153.329077639,133.744330265,175.843012172,,2026-08-04T15:40:44.863+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
2162578,MDG_0000000001,COUNTRY,RWA,YEAR,AFR,Africa,SEX,1960,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,129.7 [114.3-147.7],129.682230371,114.263707956,147.660609331,,2026-08-04T15:40:44.863+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
2162676,MDG_0000000001,COUNTRY,SLV,YEAR,AMR,Americas,SEX,1990,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,51.6 [46.7-56.9],51.550520584,46.688180738,56.945834471,,2026-08-04T15:40:44.863+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
2162959,MDG_0000000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,SEX,1963,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,50.7 [45.5-56.6],50.712505792,45.463779451,56.645461979,,2026-08-04T15:40:44.863+02:00,1963,1963-01-01T00:00:00+01:00,1963-12-31T00:00:00+01:00
2163500,MDG_0000000001,COUNTRY,MDA,YEAR,EUR,Europe,SEX,1989,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,25.7 [21.9-30.0],25.653159284,21.85347761,29.990874652,,2026-08-04T15:40:44.863+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
2163517,MDG_0000000001,COUNTRY,ECU,YEAR,AMR,Americas,SEX,1991,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,40.7 [36.4-45.5],40.674031663,36.427598293,45.524558971,,2026-08-04T15:40:44.863+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
2163745,MDG_0000000001,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,1973,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,47.3 [45.0-49.7],47.288536843,44.969153806,49.715109181,,2026-08-04T15:40:44.863+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
