Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1608190,WHOSIS_000001,COUNTRY,SYR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2003,,,,,,,72.7 [72.2-73.1],72.65734085,72.20084318,73.08164167,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1610882,WHOSIS_000001,COUNTRY,POL,EUR,YEAR,Europe,SEX,SEX_MLE,2009,,,,,,,71.5 [71.4-71.5],71.45555821,71.44877577,71.523368,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1611031,WHOSIS_000001,COUNTRY,PRI,AMR,YEAR,Americas,SEX,SEX_BTSX,2015,,,,,,,80.5 [80.4-80.7],80.5149692,80.43482734,80.6657522,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1612269,WHOSIS_000001,COUNTRY,ATG,AMR,YEAR,Americas,SEX,SEX_MLE,2000,,,,,,,72.0 [71.7-72.3],71.99136589,71.65218605,72.32602836,,2024-08-02T09:43:39.193+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1612634,WHOSIS_000001,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2004,,,,,,,75.6 [75.1-76.2],75.57666069,75.08060786,76.17392616,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1618736,WHOSIS_000001,REGION,AMR,,YEAR,,SEX,SEX_BTSX,2011,,,,,,,76.5 [76.3-76.6],76.46212795,76.30153419,76.64875153,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1619345,WHOSIS_000001,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2006,,,,,,,56.6 [55.8-57.7],56.5892561,55.79130711,57.67953918,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1619367,WHOSIS_000001,COUNTRY,PRT,EUR,YEAR,Europe,SEX,SEX_FMLE,2012,,,,,,,83.1 [83.1-83.2],83.13162647,83.11558338,83.21291094,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1619936,WHOSIS_000001,COUNTRY,BRA,AMR,YEAR,Americas,SEX,SEX_MLE,2019,,,,,,,72.2 [72.1-72.5],72.22425432,72.05851898,72.51321796,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1620344,WHOSIS_000001,COUNTRY,IND,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,2019,,,,,,,72.4 [72.0-72.9],72.41190387,72.02726151,72.91110217,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
1624321,WHOSIS_000001,COUNTRY,NER,AFR,YEAR,Africa,SEX,SEX_BTSX,2011,,,,,,,58.6 [57.4-59.9],58.60580875,57.42812833,59.89997778,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1625468,WHOSIS_000001,COUNTRY,CAF,AFR,YEAR,Africa,SEX,SEX_MLE,2012,,,,,,,48.2 [47.0-49.4],48.21949165,47.0201332,49.37920018,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1625762,WHOSIS_000001,COUNTRY,DZA,AFR,YEAR,Africa,SEX,SEX_BTSX,2001,,,,,,,72.8 [72.3-73.3],72.77159448,72.33211719,73.30304505,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1626693,WHOSIS_000001,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2011,,,,,,,66.3 [65.5-67.4],66.33076272,65.49168599,67.4079343,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1626950,WHOSIS_000001,COUNTRY,CIV,AFR,YEAR,Africa,SEX,SEX_MLE,2001,,,,,,,50.1 [49.2-51.1],50.12495258,49.17969316,51.14004678,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1627502,WHOSIS_000001,COUNTRY,SEN,AFR,YEAR,Africa,SEX,SEX_BTSX,2014,,,,,,,67.0 [66.3-67.7],66.97585439,66.33903262,67.71994707,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1630528,WHOSIS_000001,COUNTRY,VEN,AMR,YEAR,Americas,SEX,SEX_FMLE,2020,,,,,,,77.2 [76.6-77.8],77.16282403,76.56583123,77.78288817,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1630929,WHOSIS_000001,COUNTRY,KAZ,EUR,YEAR,Europe,SEX,SEX_BTSX,2002,,,,,,,65.0 [64.7-65.4],65.03142074,64.69327533,65.40101411,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1631697,WHOSIS_000001,COUNTRY,LCA,AMR,YEAR,Americas,SEX,SEX_BTSX,2012,,,,,,,76.4 [76.1-76.7],76.39869599,76.0986633,76.74593189,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1633092,WHOSIS_000001,COUNTRY,NER,AFR,YEAR,Africa,SEX,SEX_BTSX,2018,,,,,,,60.4 [59.2-61.7],60.43807872,59.16665798,61.68316998,,2024-08-02T09:43:39.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1633220,WHOSIS_000001,COUNTRY,HUN,EUR,YEAR,Europe,SEX,SEX_BTSX,2017,,,,,,,75.9 [75.9-76.0],75.90176306,75.86903593,76.00085416,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1633538,WHOSIS_000001,REGION,EMR,,YEAR,,SEX,SEX_FMLE,2001,,,,,,,67.0 [66.4-67.7],67.04616819,66.44439508,67.66038409,,2024-08-02T09:43:39.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1637930,WHOSIS_000001,COUNTRY,GMB,AFR,YEAR,Africa,SEX,SEX_MLE,2003,,,,,,,58.1 [57.2-59.0],58.09277964,57.19049926,59.03437769,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1638543,WHOSIS_000001,COUNTRY,BIH,EUR,YEAR,Europe,SEX,SEX_MLE,2006,,,,,,,73.7 [73.6-73.8],73.65151479,73.5855987,73.80484647,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1638790,WHOSIS_000001,COUNTRY,SLE,AFR,YEAR,Africa,SEX,SEX_BTSX,2002,,,,,,,51.3 [50.2-52.3],51.28114602,50.17115481,52.3431773,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1639309,WHOSIS_000001,COUNTRY,BHS,AMR,YEAR,Americas,SEX,SEX_BTSX,2008,,,,,,,73.0 [72.7-73.3],72.97662842,72.73704462,73.31229073,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1639754,WHOSIS_000001,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2005,,,,,,,71.9 [71.4-72.8],71.94998443,71.38161006,72.75216829,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1639999,WHOSIS_000001,COUNTRY,MOZ,AFR,YEAR,Africa,SEX,SEX_MLE,2011,,,,,,,51.2 [50.4-52.0],51.22420715,50.35784495,51.9996808,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1642923,WHOSIS_000001,REGION,EMR,,YEAR,,SEX,SEX_FMLE,2014,,,,,,,70.6 [69.9-71.2],70.57517601,69.93989677,71.22872145,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
